bee1_id,bee2_id,entrance_frame,exit_frame,duration_frames,winner,loser,dist_from_center_A,dist_from_center_B,reason
ArUcoTag#3,ArUcoTag#9,67581,67962,382,ArUcoTag#9,ArUcoTag#3,150.89578241362253,30.611226147736666,distance_exit
ArUcoTag#3,ArUcoTag#9,75397,75757,361,ArUcoTag#3,ArUcoTag#9,42.308978119916716,91.82177084013767,distance_exit
ArUcoTag#3,ArUcoTag#9,77420,77680,261,ArUcoTag#9,ArUcoTag#3,93.47425430721646,13.57021111159075,distance_exit
ArUcoTag#3,ArUcoTag#9,85162,85590,429,ArUcoTag#9,ArUcoTag#3,91.76379279855632,30.300647560156904,distance_exit
ArUcoTag#3,ArUcoTag#9,85705,85739,35,ArUcoTag#9,ArUcoTag#3,92.70769191990493,29.225009314683795,distance_exit
ArUcoTag#3,ArUcoTag#9,91106,91279,174,ArUcoTag#3,ArUcoTag#9,82.90295994434442,108.56865292252368,distance_exit
ArUcoTag#3,ArUcoTag#9,91335,91555,221,ArUcoTag#3,ArUcoTag#9,46.12748239558947,91.46154799826937,distance_exit
ArUcoTag#3,ArUcoTag#9,91828,91862,35,ArUcoTag#9,ArUcoTag#3,98.25884836510912,64.75178230538323,distance_exit
ArUcoTag#3,ArUcoTag#9,94955,95377,423,ArUcoTag#9,ArUcoTag#3,289.1348138382259,47.07334348191819,distance_exit
ArUcoTag#3,ArUcoTag#9,95920,95960,41,ArUcoTag#3,ArUcoTag#9,34.669659779267235,93.08852940262612,distance_exit
ArUcoTag#3,ArUcoTag#9,97415,97436,22,ArUcoTag#9,ArUcoTag#3,96.0474609889911,17.69045168652096,distance_exit
ArUcoTag#3,ArUcoTag#9,104341,105415,1075,ArUcoTag#9,ArUcoTag#3,98.04868775298802,52.61335139427153,distance_exit
ArUcoTag#3,ArUcoTag#9,107061,107366,306,ArUcoTag#9,ArUcoTag#3,96.55769331361323,65.56029755076503,distance_exit
